sample,confidence_bucket,matches,result_accuracy,score_accuracy,average_upset_probability,average_home_probability,average_draw_probability,average_away_probability
2018,0-40,24,50.0,12.5,33.07,34.89,29.87,35.24
2018,40-50,29,55.17,6.9,28.67,38.81,26.53,34.66
2018,50-60,10,80.0,30.0,23.98,44.96,22.45,32.59
2018,60-70,1,0.0,0.0,19.82,17.16,19.82,63.03
2018,70-80,0,0.0,0.0,,,,
2018,80+,0,0.0,0.0,,,,
2022,0-40,21,42.86,0.0,32.56,34.66,30.47,34.87
2022,40-50,25,56.0,20.0,28.23,37.71,26.33,35.96
2022,50-60,16,68.75,25.0,23.77,46.43,22.81,30.76
2022,60-70,2,50.0,0.0,19.75,40.86,19.75,39.39
2022,70-80,0,0.0,0.0,,,,
2022,80+,0,0.0,0.0,,,,
2026_live,0-40,0,0.0,0.0,,,,
2026_live,40-50,3,66.67,33.33,52.27,38.23,28.66,33.11
2026_live,50-60,0,0.0,0.0,,,,
2026_live,60-70,2,50.0,50.0,40.35,38.76,23.2,38.04
2026_live,70-80,2,100.0,50.0,45.6,57.4,22.34,20.27
2026_live,80+,5,100.0,20.0,25.68,53.43,20.47,26.1
combined_2018_2022_2026_live,0-40,45,46.67,6.67,32.83,34.78,30.15,35.07
combined_2018_2022_2026_live,40-50,57,56.14,14.04,29.72,38.3,26.55,35.15
combined_2018_2022_2026_live,50-60,26,73.08,26.92,23.85,45.87,22.67,31.46
combined_2018_2022_2026_live,60-70,5,40.0,20.0,28.0,35.28,21.14,43.58
combined_2018_2022_2026_live,70-80,2,100.0,50.0,45.6,57.4,22.34,20.27
combined_2018_2022_2026_live,80+,5,100.0,20.0,25.68,53.43,20.47,26.1
