feature,group,matches,available_values,average,median,min,max
draw_probability,A_hit_draw,7,7,31.56,30.92,30.75,34.58
draw_probability,B_missed_draw,22,22,26.46,26.23,22.06,29.97
home_probability,A_hit_draw,7,7,33.48,32.44,28.74,40.53
home_probability,B_missed_draw,22,22,38.03,36.05,24.56,53.31
away_probability,A_hit_draw,7,7,34.95,35.67,28.66,40.35
away_probability,B_missed_draw,22,22,35.51,34.84,24.63,51.99
home_away_probability_gap,A_hit_draw,7,7,6.35,5.21,3.05,11.87
home_away_probability_gap,B_missed_draw,22,22,15.17,16.09,0.87,28.68
win_probability_gap,A_hit_draw,7,7,5.83,6.33,-0.33,9.72
win_probability_gap,B_missed_draw,22,22,17.89,19.07,6.84,31.25
market_odds_difference,A_hit_draw,7,7,1.98,2.0,0.46,3.7
market_odds_difference,B_missed_draw,22,22,4.3,3.96,0.73,11.19
predicted_total_goals,A_hit_draw,7,7,2.0,2.0,0.0,6.0
predicted_total_goals,B_missed_draw,22,22,2.5,2.0,1.0,5.0
upset_probability,A_hit_draw,7,7,65.66,64.33,59.65,71.34
upset_probability,B_missed_draw,22,22,55.92,55.34,46.69,67.54
confidence_score,A_hit_draw,7,7,31.56,30.92,30.75,34.58
confidence_score,B_missed_draw,22,22,44.35,44.66,35.98,53.31
