match_id,year,match_date,stage,match,home_team,away_team,predicted_result,predicted_result_team,actual_result,home_probability,draw_probability,away_probability,confidence_score,upset_probability,market_favorite,market_favorite_team,model_favorite,model_favorite_team,top1_score,top2_score,top3_score,top3_available,top3_has_draw_score,top1_not_draw_but_top2_or_top3_has_draw,predicted_total_goals,predicted_total_goals_bucket,actual_score,actual_total_goals,actual_total_goals_bucket,both_teams_to_score_recommendation,actual_btts
264,2018,2018-06-15T21:00:00,Group Stage,Portugal vs Spain,Portugal,Spain,Away Win,Spain,Draw,34.07,28.98,36.94,36.94,63.06,Away Win,Spain,Away Win,Spain,0-2,,,False,False,False,2,2 goals,3-3,6,4+ goals,,Yes
275,2018,2018-06-16T16:00:00,Group Stage,Argentina vs Iceland,Argentina,Iceland,Home Win,Argentina,Draw,47.9,24.26,27.84,47.9,52.1,Home Win,Argentina,Home Win,Argentina,1-0,,,False,False,False,1,1 goal,1-1,2,2 goals,,Yes
282,2018,2018-06-17T21:00:00,Group Stage,Brazil vs Switzerland,Brazil,Switzerland,Home Win,Brazil,Draw,49.85,24.94,25.21,49.85,50.15,Home Win,Brazil,Home Win,Brazil,3-1,,,False,False,False,4,4+ goals,1-1,2,2 goals,,Yes
271,2018,2018-06-21T16:00:00,Group Stage,Denmark vs Australia,Denmark,Australia,Home Win,Denmark,Draw,46.81,25.8,27.4,46.81,53.19,Home Win,Denmark,Home Win,Denmark,3-2,,,False,False,False,5,4+ goals,1-1,2,2 goals,,Yes
301,2018,2018-06-24T20:00:00,Group Stage,Japan vs Senegal,Japan,Senegal,Away Win,Senegal,Draw,29.66,27.51,42.83,42.83,57.17,Away Win,Senegal,Away Win,Senegal,0-1,,,False,False,False,1,1 goal,2-2,4,4+ goals,,Yes
268,2018,2018-06-25T20:00:00,Group Stage,Spain vs Morocco,Spain,Morocco,Home Win,Spain,Draw,49.73,23.59,26.68,49.73,50.27,Home Win,Spain,Home Win,Spain,1-0,,,False,False,False,1,1 goal,2-2,4,4+ goals,,Yes
267,2018,2018-06-25T21:00:00,Group Stage,Iran vs Portugal,Iran,Portugal,Away Win,Portugal,Draw,24.56,23.44,51.99,51.99,48.01,Away Win,Portugal,Away Win,Portugal,0-2,,,False,False,False,2,2 goals,1-1,2,2 goals,,Yes
273,2018,2018-06-26T17:00:00,Group Stage,Denmark vs France,Denmark,France,Away Win,France,Draw,29.65,27.26,43.09,43.09,56.91,Away Win,France,Away Win,France,1-2,,,False,False,False,3,3 goals,0-0,0,0 goals,,No
286,2018,2018-06-27T21:00:00,Group Stage,Switzerland vs Costa Rica,Switzerland,Costa Rica,Home Win,Switzerland,Draw,39.05,28.82,32.13,39.05,60.95,Home Win,Switzerland,Home Win,Switzerland,2-0,,,False,False,False,2,2 goals,2-2,4,4+ goals,,Yes
307,2018,2018-07-01T17:00:00,Round of 16,Spain vs Russia,Spain,Russia,Home Win,Spain,Draw,44.24,25.06,30.7,44.24,55.76,Home Win,Spain,Home Win,Spain,3-2,,,False,False,False,5,4+ goals,1-1,2,2 goals,,Yes
316,2018,2018-07-07T21:00:00,Quarter-finals,Russia vs Croatia,Russia,Croatia,Away Win,Croatia,Draw,30.12,27.95,41.92,41.92,58.08,Away Win,Croatia,Away Win,Croatia,1-2,,,False,False,False,3,3 goals,1-1,2,2 goals,,Yes
339,2022,2022-11-22T16:00:00,Group Stage,Denmark vs Tunisia,Denmark,Tunisia,Home Win,Denmark,Draw,46.54,24.83,28.63,46.54,53.46,Home Win,Denmark,Home Win,Denmark,2-0,,,False,False,False,2,2 goals,0-0,0,0 goals,,No
334,2022,2022-11-22T19:00:00,Group Stage,Mexico vs Poland,Mexico,Poland,Home Win,Mexico,Draw,36.13,29.29,34.58,36.13,63.87,Home Win,Mexico,Home Win,Mexico,2-0,,,False,False,False,2,2 goals,0-0,0,0 goals,,No
351,2022,2022-11-23T13:00:00,Group Stage,Morocco vs Croatia,Morocco,Croatia,Away Win,Croatia,Draw,27.96,28.14,43.9,43.9,56.1,Away Win,Croatia,Away Win,Croatia,0-2,,,False,False,False,2,2 goals,0-0,0,0 goals,,No
363,2022,2022-11-24T16:00:00,Group Stage,Uruguay vs South Korea,Uruguay,South Korea,Home Win,Uruguay,Draw,47.46,24.34,28.2,47.46,52.54,Home Win,Uruguay,Home Win,Uruguay,2-1,,,False,False,False,3,3 goals,0-0,0,0 goals,,No
324,2022,2022-11-25T19:00:00,Group Stage,Netherlands vs Ecuador,Netherlands,Ecuador,Home Win,Netherlands,Draw,53.31,22.06,24.63,53.31,46.69,Home Win,Netherlands,Home Win,Netherlands,1-0,,,False,False,False,1,1 goal,1-1,2,2 goals,,Yes
330,2022,2022-11-25T22:00:00,Group Stage,England vs USA,England,USA,Home Win,England,Draw,46.5,25.77,27.73,46.5,53.5,Home Win,England,Home Win,England,1-0,,,False,False,False,1,1 goal,0-0,0,0 goals,,No
348,2022,2022-11-27T22:00:00,Group Stage,Spain vs Germany,Spain,Germany,Away Win,Germany,Draw,32.46,29.97,37.57,37.57,67.54,Home Win,Spain,Away Win,Germany,1-3,,,False,False,False,4,4+ goals,1-1,2,2 goals,,Yes
355,2022,2022-12-01T18:00:00,Group Stage,Croatia vs Belgium,Croatia,Belgium,Home Win,Croatia,Draw,35.98,28.91,35.11,35.98,64.89,Away Win,Belgium,Home Win,Croatia,2-1,,,False,False,False,3,3 goals,0-0,0,0 goals,,No
373,2022,2022-12-05T18:00:00,Round of 16,Japan vs Croatia,Japan,Croatia,Away Win,Croatia,Draw,28.01,28.85,43.14,43.14,56.86,Away Win,Croatia,Away Win,Croatia,0-2,,,False,False,False,2,2 goals,1-1,2,2 goals,,Yes
375,2022,2022-12-06T18:00:00,Round of 16,Morocco vs Spain,Morocco,Spain,Away Win,Spain,Draw,28.82,26.11,45.07,45.07,54.93,Away Win,Spain,Away Win,Spain,1-2,,,False,False,False,3,3 goals,0-0,0,0 goals,,No
377,2022,2022-12-09T18:00:00,Quarter-finals,Croatia vs Brazil,Croatia,Brazil,Away Win,Brazil,Draw,27.83,26.35,45.82,45.82,54.18,Away Win,Brazil,Away Win,Brazil,1-2,,,False,False,False,3,3 goals,0-0,0,0 goals,,No
